X,Y,Label
4.251033218874792,0.888219946414105,-1
0.35042827965118484,1.4767923242886216,1
4.126401427758181,3.059509142672046,-1
3.2550589616537207,3.870984044659272,-1
4.061884995134334,4.636751884937615,-1
0.1642225232604022,1.7440821955414227,1
1.4499632032695247,0.2237818762271998,-1
3.582081899545831,3.0882839046044186,-1
1.346020761545725,2.6499174303820574,1
1.8629496081166197,0.44258907163105543,-1
1.449398254791085,4.562758133660369,1
0.6507294705496608,0.9568834706504459,1
4.606874323745779,0.16744571676082176,-1
2.794320839360407,0.3397948408936863,-1
4.578601332500215,3.8518422775273415,-1
3.7773496473234114,3.85074681176788,-1
2.6362307528031383,1.2533924677508619,-1
4.035980817402172,2.6380739484614173,-1
1.3403757441234754,0.4050120085568215,-1
4.207444557258443,1.5313968178543902,-1
4.558288464807417,0.08662125887968497,-1
4.739224037132528,2.219466829353736,-1
4.428327599628102,2.0976958416143336,-1
0.013394428324428054,1.0428452224277918,1
4.353893469230349,2.8014603264785793,-1
0.18836241214221672,4.018308237844028,1
0.7618243145916204,3.3397519823746857,1
4.983710119303322,1.7850783248507511,-1
2.606387705459891,0.6785578480604015,-1
2.2385625566894287,3.55640569888048,-1
1.4044139991048987,4.173394500146047,1
2.0690226751633602,4.6426889427648295,1
2.811311915611514,3.2357531250053366,-1
2.226817300286629,3.086786643620112,-1
3.2319553629583124,2.6390476936027136,-1
1.606160702022692,0.20298037989225748,-1
0.8474394928311879,3.17536878595786,1
3.904517317747902,0.27616370520332334,-1
2.5527854378749533,0.25152285321325907,-1
3.8597597326515114,3.2454385067794362,-1
1.991221969022439,3.482487028525529,-1
1.1485454060937035,3.5689813325383706,1
2.0063864943089076,4.478488874078467,1
3.1169551671386078,1.059175709968312,-1
0.23586284523753054,4.461061027231044,1
0.3938078921630739,4.894921542533312,1
1.7021903021655072,2.4793190652841437,-1
1.7314923177717216,0.751666241738313,-1
0.203396813921361,3.641982926566109,1
1.5087308121193077,2.911267677045738,1
0.3256159424356525,4.523110724231487,1
1.8033522189247575,1.8251911044326024,-1
4.2025821344001475,1.4342314456723688,-1
3.2550360800058997,0.8678252262472608,-1
4.666339020436598,1.8295033152966855,-1
2.4793431253909364,1.562643432678873,-1
4.632316320084292,0.5723533072686277,-1
4.4692265962143995,0.5839298109101981,-1
4.273978253400825,3.9679890201203656,-1
2.747161471700856,1.6947533289512373,-1
2.5243730388264867,2.4175055242409726,-1
4.526402032097021,0.02835121737349955,-1
3.9423150250677583,3.4897130923203923,-1
3.5218015584115485,3.768012999078501,-1
4.850325265269228,4.732177417570009,-1
2.301334333199867,4.336362928980498,-1
2.0100726112822094,4.738760733602586,1
0.24041495382916833,3.0384401370469005,1
0.4579997020024945,4.975180852021773,1
0.98057896234651,1.1728331900121058,1
1.1219289426204377,1.479471759012148,1
0.6774989943503362,0.11261595601910479,1
1.0827377137868865,2.7087050658714174,1
3.7914461315174304,1.0674373385303304,-1
2.0714785067633295,2.180895945137346,-1
1.6316778438886836,4.983961736575837,1
3.8487975296439965,4.577924740466272,-1
3.4215482429294273,0.6844154376902661,-1
1.8517103457287938,0.8945388260796344,-1
4.519759972729636,2.122910565873321,-1
2.778524861317073,3.0197087944530594,-1
2.847221636722245,4.742714003583398,-1
4.112942631922495,3.0223052570809212,-1
2.2127847029823537,0.8968852967840446,-1
2.424035450853657,2.905662193595144,-1
1.010152330251572,3.4399823184232674,1
4.655369079029234,4.501263447597543,-1
1.5881167557661313,3.8779280050169636,1
3.116652379798709,0.3193764067299043,-1
4.14064927732759,0.2561551987670174,-1
0.28863118818282907,3.4294427731634007,1
0.3743665244961597,2.0071390120650583,1
4.548492507558923,3.0190705404528058,-1
4.227298750732012,2.969479604758563,-1
2.6986653622451677,4.571891201814139,-1
2.2951262340203598,3.3982785260652215,-1
3.67796127956821,2.7339004330537735,-1
3.906480846093357,0.06092793086720227,-1
2.1107576825614056,1.1917140927937093,-1
1.0776038778900827,3.639320555316527,1
